stack_id,language,framework,orm,category_group,view,measurement_category,tokens,loc,file_count,chars,view_tokens,view_loc,view_file_count,view_chars,stack_tokens,stack_loc,stack_file_count,stack_chars,warning_count,manifest_entries,python_version,tokenizer,tiktoken_version,pyyaml_version,tokenization_strategy,file_ordering,manifest_sha256,corpus_sha256,raw_json
gin,go,gin,gorm,api_first,handwritten,api,3776,545,5,14016,5004,757,17,18749,5583,798,18,20324,0,18,3.12.13,cl100k_base,0.9.0,6.0.2,pure_content_only,alphabetical_stable,7c3f2352e6bc035c23e08dfb3abb75f96578f542a610a0cc70efeb5247b7d5a0,6fae6a51af86f20da9048ef9056a21870236b390578b5168e271d77c2190d6f1,results/raw/gin.json
gin,go,gin,gorm,api_first,handwritten,domain,600,100,7,2348,5004,757,17,18749,5583,798,18,20324,0,18,3.12.13,cl100k_base,0.9.0,6.0.2,pure_content_only,alphabetical_stable,7c3f2352e6bc035c23e08dfb3abb75f96578f542a610a0cc70efeb5247b7d5a0,6fae6a51af86f20da9048ef9056a21870236b390578b5168e271d77c2190d6f1,results/raw/gin.json
gin,go,gin,gorm,api_first,handwritten,persistence,628,112,5,2385,5004,757,17,18749,5583,798,18,20324,0,18,3.12.13,cl100k_base,0.9.0,6.0.2,pure_content_only,alphabetical_stable,7c3f2352e6bc035c23e08dfb3abb75f96578f542a610a0cc70efeb5247b7d5a0,6fae6a51af86f20da9048ef9056a21870236b390578b5168e271d77c2190d6f1,results/raw/gin.json
gin,go,gin,gorm,api_first,operational_extras,config,579,41,1,1575,579,41,1,1575,5583,798,18,20324,0,18,3.12.13,cl100k_base,0.9.0,6.0.2,pure_content_only,alphabetical_stable,7c3f2352e6bc035c23e08dfb3abb75f96578f542a610a0cc70efeb5247b7d5a0,6fae6a51af86f20da9048ef9056a21870236b390578b5168e271d77c2190d6f1,results/raw/gin.json
gin,go,gin,gorm,api_first,operational_extras,migrations,0,0,0,0,579,41,1,1575,5583,798,18,20324,0,18,3.12.13,cl100k_base,0.9.0,6.0.2,pure_content_only,alphabetical_stable,7c3f2352e6bc035c23e08dfb3abb75f96578f542a610a0cc70efeb5247b7d5a0,6fae6a51af86f20da9048ef9056a21870236b390578b5168e271d77c2190d6f1,results/raw/gin.json
laravel,php,laravel,eloquent,opinionated,handwritten,api,2307,313,5,10143,3208,515,13,14511,12722,1907,25,61545,0,25,3.12.13,cl100k_base,0.9.0,6.0.2,pure_content_only,alphabetical_stable,74a89df278b8848607d9d755f7ee06b8b4ce1c7d33c90880ce1a8a21c85f6202,0d053249ec25bd4978466d433ca7d0b4fe9d810c47ff5b03e7381ad48b6882bc,results/raw/laravel.json
laravel,php,laravel,eloquent,opinionated,handwritten,domain,390,101,4,1899,3208,515,13,14511,12722,1907,25,61545,0,25,3.12.13,cl100k_base,0.9.0,6.0.2,pure_content_only,alphabetical_stable,74a89df278b8848607d9d755f7ee06b8b4ce1c7d33c90880ce1a8a21c85f6202,0d053249ec25bd4978466d433ca7d0b4fe9d810c47ff5b03e7381ad48b6882bc,results/raw/laravel.json
laravel,php,laravel,eloquent,opinionated,handwritten,persistence,511,101,4,2469,3208,515,13,14511,12722,1907,25,61545,0,25,3.12.13,cl100k_base,0.9.0,6.0.2,pure_content_only,alphabetical_stable,74a89df278b8848607d9d755f7ee06b8b4ce1c7d33c90880ce1a8a21c85f6202,0d053249ec25bd4978466d433ca7d0b4fe9d810c47ff5b03e7381ad48b6882bc,results/raw/laravel.json
laravel,php,laravel,eloquent,opinionated,operational_extras,config,9514,1392,12,47034,9514,1392,12,47034,12722,1907,25,61545,0,25,3.12.13,cl100k_base,0.9.0,6.0.2,pure_content_only,alphabetical_stable,74a89df278b8848607d9d755f7ee06b8b4ce1c7d33c90880ce1a8a21c85f6202,0d053249ec25bd4978466d433ca7d0b4fe9d810c47ff5b03e7381ad48b6882bc,results/raw/laravel.json
laravel,php,laravel,eloquent,opinionated,operational_extras,migrations,0,0,0,0,9514,1392,12,47034,12722,1907,25,61545,0,25,3.12.13,cl100k_base,0.9.0,6.0.2,pure_content_only,alphabetical_stable,74a89df278b8848607d9d755f7ee06b8b4ce1c7d33c90880ce1a8a21c85f6202,0d053249ec25bd4978466d433ca7d0b4fe9d810c47ff5b03e7381ad48b6882bc,results/raw/laravel.json
nestjs,typescript,nestjs,prisma,opinionated,handwritten,api,2642,417,11,11504,3685,575,20,15608,4088,624,22,16839,0,22,3.12.13,cl100k_base,0.9.0,6.0.2,pure_content_only,alphabetical_stable,fa6ea5a15e509cf56fb07156212f21a91122a0bf3fb79646898f660c63ca9198,aae4979c25b31ea82eff71475b3b5c9f73adbb9de60c9ba42d4329c32b5422a6,results/raw/nestjs.json
nestjs,typescript,nestjs,prisma,opinionated,handwritten,domain,559,93,5,2109,3685,575,20,15608,4088,624,22,16839,0,22,3.12.13,cl100k_base,0.9.0,6.0.2,pure_content_only,alphabetical_stable,fa6ea5a15e509cf56fb07156212f21a91122a0bf3fb79646898f660c63ca9198,aae4979c25b31ea82eff71475b3b5c9f73adbb9de60c9ba42d4329c32b5422a6,results/raw/nestjs.json
nestjs,typescript,nestjs,prisma,opinionated,handwritten,persistence,484,65,4,1995,3685,575,20,15608,4088,624,22,16839,0,22,3.12.13,cl100k_base,0.9.0,6.0.2,pure_content_only,alphabetical_stable,fa6ea5a15e509cf56fb07156212f21a91122a0bf3fb79646898f660c63ca9198,aae4979c25b31ea82eff71475b3b5c9f73adbb9de60c9ba42d4329c32b5422a6,results/raw/nestjs.json
nestjs,typescript,nestjs,prisma,opinionated,operational_extras,config,403,49,2,1231,403,49,2,1231,4088,624,22,16839,0,22,3.12.13,cl100k_base,0.9.0,6.0.2,pure_content_only,alphabetical_stable,fa6ea5a15e509cf56fb07156212f21a91122a0bf3fb79646898f660c63ca9198,aae4979c25b31ea82eff71475b3b5c9f73adbb9de60c9ba42d4329c32b5422a6,results/raw/nestjs.json
